time,lat,lon,aod
25/05/2025 06:00,16.51,80.52,0.49768883
25/05/2025 06:00,16.98,81.78,0.83670227
25/05/2025 06:00,13.68,79.35,0.78965252
25/05/2025 06:00,16.51,80.64,0.36070106
25/05/2025 06:00,17.69,83.22,1.14049866
25/05/2025 06:00,26.18,91.75,0.44817187
25/05/2025 06:00,24.79,85.0,1.11882509
25/05/2025 06:00,26.12,85.37,0.92268397
25/05/2025 06:00,25.59,85.14,1.02490208
25/05/2025 06:00,28.8,77.13,0.47688257
25/05/2025 06:00,28.65,77.32,0.83985012
25/05/2025 06:00,28.7,77.2,1.05702204
25/05/2025 06:00,28.47,77.12,0.7284125
25/05/2025 06:00,28.8,77.03,1.02081467
25/05/2025 06:00,28.73,77.2,0.59910653
25/05/2025 06:00,28.55,77.25,0.64266121
25/05/2025 06:00,28.75,77.12,0.57609911
25/05/2025 06:00,28.5,77.22,0.69426666
25/05/2025 06:00,28.57,77.07,1.16044334
25/05/2025 06:00,28.63,77.28,0.83003582
25/05/2025 06:00,28.56,77.1,0.9418615
25/05/2025 06:00,28.68,77.32,0.52931788
25/05/2025 06:00,28.63,77.25,0.84335219
25/05/2025 06:00,28.73,77.18,0.81413378
25/05/2025 06:00,28.61,77.24,1.15932956
25/05/2025 06:00,28.59,77.22,0.48020178
25/05/2025 06:00,28.61,77.24,1.17893654
25/05/2025 06:00,28.63,77.2,0.57913569
25/05/2025 06:00,28.68,77.03,0.45569468
25/05/2025 06:00,28.61,77.03,0.78080936
25/05/2025 06:00,28.61,76.98,0.59440056
25/05/2025 06:00,28.85,77.1,1.18678699
25/05/2025 06:00,28.55,77.25,0.61302368
25/05/2025 06:00,28.69,77.21,0.73340985
25/05/2025 06:00,28.53,77.28,0.59755294
25/05/2025 06:00,28.62,77.3,0.6651449
25/05/2025 06:00,28.68,77.13,1.08344064
25/05/2025 06:00,28.64,77.16,0.41898355
25/05/2025 06:00,28.64,77.16,0.74203764
25/05/2025 06:00,28.57,77.18,0.84421629
25/05/2025 06:00,28.74,77.09,0.75173594
25/05/2025 06:00,28.65,77.15,1.15897734
25/05/2025 06:00,28.55,77.25,0.87430089
25/05/2025 06:00,28.72,77.25,0.85980634
25/05/2025 06:00,28.55,77.2,0.51075332
25/05/2025 06:00,28.68,77.32,0.96946967
25/05/2025 06:00,28.7,77.15,0.58124821
25/05/2025 06:00,22.99,72.61,0.45457067
25/05/2025 06:00,21.62,72.99,0.66709828
25/05/2025 06:00,23.22,72.65,0.75678549
25/05/2025 06:00,20.37,72.9,0.37876516
25/05/2025 06:00,22.99,72.61,0.65512623
